Date,Impact,classes_-1,classes_1,roberta_neg,roberta_neu,roberta_pos,tweet_volume,+1D ETH,Price Diff ETH,ETH Volume,ETH_close
2020-03-07,2101,8,16,0.20823276455769232,0.39730121148717945,0.3944660268974359,19205.0,0,-37.16404277699999,19431652027.37,237.853095033
2020-03-08,4098,9,17,0.22544302253783782,0.3216279038108108,0.45292905644864867,19627.0,1,1.297274855000012,21381823651.3696,200.689052256
2020-03-09,-5804,11,24,0.1989296823516129,0.41764558588709677,0.3834247072096774,31167.0,0,-1.2190796840000075,23645428606.1061,201.986327111
2020-03-10,9315,7,20,0.146038198252,0.38536486762222216,0.4685969145777778,24544.0,0,-5.89871895600001,18344930072.1938,200.767247427
2020-03-11,10643,3,17,0.09801837783780488,0.4747689136829268,0.42721273226829265,23550.0,0,-82.52140471199999,16984790291.2585,194.868528471
2020-03-12,-9437,28,23,0.3622815179986842,0.34694513507894736,0.29077334911842107,44735.0,1,20.85468348000001,22134741654.7299,112.347123759
2020-03-13,-3240,18,17,0.2985271788123333,0.38242004398333335,0.3190527766666667,43020.0,0,-9.895782646,27864623060.6624,133.201807239
2020-03-14,4308,9,9,0.27906624265625,0.41638892584375,0.3045448280625,22922.0,1,1.908279719999996,12740784545.4522,123.306024593
2020-03-15,1816,7,12,0.18349836179333331,0.37760936013333335,0.4388922855333333,22102.0,0,-14.608428301000004,12719251812.5511,125.214304313
2020-03-16,440,8,9,0.2832274800532258,0.3870761433419355,0.329696372516129,27432.0,1,3.3368742159999982,15984904589.6297,110.605876012
2020-03-17,6760,9,21,0.17648370171962263,0.41567072715094344,0.40784556173584907,26159.0,1,0.8995228110000113,12087490572.2852,113.942750228
2020-03-18,8647,7,14,0.22516614737757576,0.3656023352121212,0.40923152164545457,26644.0,1,21.751584932,11617854008.6765,114.842273039
2020-03-19,5280,7,19,0.1529473234452381,0.3875624047857143,0.45949027002380954,29033.0,0,-3.856687902999994,16396753275.29,136.593857971
2020-03-20,8804,9,12,0.251456317425,0.44222226229999995,0.306321429275,28150.0,1,0.0815377809999802,18960388062.1676,132.737170068
2020-03-21,4887,5,8,0.19589639990416666,0.4723967254166667,0.33170687794166664,25403.0,0,-9.497560103999987,13684083307.7535,132.818707849
2020-03-22,2692,10,7,0.27503137400925926,0.42888036625925924,0.29608823681481483,27844.0,1,11.590464264000005,12497707223.5765,123.321147745
2020-03-23,5048,3,12,0.14381589737857142,0.42482928030714284,0.4313548170714286,28657.0,1,3.849833004000004,14149877968.1487,134.911612009
2020-03-24,13069,13,18,0.2226390563953846,0.4257707818461539,0.3515901475,31076.0,0,-2.565552105000023,14609068673.4853,138.761445013
2020-03-25,3126,4,12,0.17109820954166666,0.3939777015833333,0.4349240733875,26878.0,1,2.1656644310000104,13433092919.8647,136.195892908
2020-03-26,8324,3,15,0.11605354224861111,0.4744532472222222,0.40949322633333335,24772.0,0,-4.423617146999987,11367261176.0051,138.361557339
2020-03-27,-320,7,7,0.2590242630210345,0.47303416951724137,0.2679415284137931,24128.0,0,-2.951445308000018,11396286629.2955,133.937940192
2020-03-28,4365,2,12,0.11521200683703704,0.4181889662222222,0.46659903244444445,20983.0,0,-5.402764442999995,12162403960.3873,130.986494884
2020-03-29,6698,2,13,0.1037360012825,0.31887823815000005,0.5773857418799999,22187.0,1,7.32080762199999,9938133668.53392,125.583730441
2020-03-30,10129,3,16,0.09779049123636363,0.39588661616666665,0.5063228707575758,24425.0,1,0.6890269940000167,11841123306.4222,132.904538063
2020-03-31,13279,9,17,0.17316215993953488,0.439961761872093,0.3868760847906976,24944.0,1,2.0409872790000065,11065246316.9778,133.593565057
2020-04-01,8478,4,25,0.11248200183931818,0.3414431196136363,0.5460748862613637,27700.0,1,6.394595294999988,12456564434.6682,135.634552336
2020-04-02,53065,4,20,0.12715832904871793,0.372504325974359,0.500337317051282,29947.0,1,0.0621622429999888,15322861686.0569,142.029147631
2020-04-03,-906,10,14,0.22031652305750002,0.41760918535,0.362074272025,33185.0,1,3.1280747480000173,13184603401.9239,142.091309874
2020-04-04,8716,3,12,0.10906179919200001,0.38116908084,0.5097690853,28502.0,0,-1.6727359120000074,11946658256.7012,145.219384622
2020-04-05,-10720,19,19,0.28340765591406253,0.419392390734375,0.2971999632,25533.0,1,25.589235884999997,11280993590.8495,143.54664871
2020-04-06,10970,4,18,0.11874510145268292,0.4782172245365854,0.40303767496341464,32118.0,0,-4.033942069999995,21636382525.0974,169.135884595
2020-04-07,8462,4,14,0.11890905623571428,0.48521422876190473,0.39587671303809524,32171.0,1,7.5397912640000015,21659346091.3178,165.101942525
2020-04-08,966,11,9,0.20677223230638297,0.5225306937234042,0.2706970613276596,30033.0,0,-1.834586303000009,17063110836.1549,172.641733789
2020-04-09,-2129,12,18,0.2246628295332558,0.37936570846511625,0.39597147422093026,29133.0,0,-12.394698877999986,14901696210.1146,170.807147486
2020-04-10,8618,6,16,0.1627603000857143,0.4521590012142857,0.38508069770000003,28128.0,0,-0.1964249290000168,17980944615.7097,158.412448608
2020-04-11,1796,3,11,0.1339239533357143,0.4566141004285714,0.409461945525,22432.0,1,2.926396466,13555089447.1146,158.216023679
2020-04-12,7408,2,8,0.13080938465238093,0.47011332509523807,0.39907729901428574,23749.0,0,-4.862871050999985,15123721385.9445,161.142420145
2020-04-13,4549,2,10,0.1224104506,0.4517567402173913,0.4258328234782609,26814.0,1,1.3168465869999864,16465282132.7883,156.279549094
2020-04-14,16268,8,17,0.1648754073940909,0.41967657690909094,0.4154479973409091,31671.0,0,-4.309502775999988,14723156630.0595,157.596395681
2020-04-15,8581,10,21,0.20569607065581397,0.34654378102325584,0.4477601657116279,28889.0,1,18.870489916,14171753736.5254,153.286892905
2020-04-16,18709,3,35,0.06975448983821428,0.3766341989910714,0.5536112919464286,30583.0,0,-0.5188001139999869,22910469235.6043,172.157382821
2020-04-17,9370,9,20,0.17863855166666667,0.40813583075,0.4132255998875,28790.0,1,15.27542313699999,16714684265.8828,171.638582707
2020-04-18,5379,8,22,0.16797234465849056,0.4319646019679245,0.40006304273584903,25279.0,0,-5.299046701999998,20160323442.9954,186.914005844
2020-04-19,-2525,8,10,0.24070251583636365,0.41326551078787876,0.34603195163636363,25819.0,0,-9.317801567000004,19146038381.4492,181.614959142
2020-04-20,-4651,10,15,0.21255216822765957,0.4438065601276595,0.34364128153191487,34822.0,1,0.4405429560000016,21266681335.1588,172.297157575
2020-04-21,-8136,8,17,0.19256263650162164,0.34244321743243245,0.4649941344594595,32492.0,1,9.861874269999989,16458767984.0892,172.737700531
2020-04-22,1200,8,11,0.1591301452289474,0.4715755662368421,0.369294292631579,30981.0,1,2.429096032000018,17994666394.6491,182.599574801
2020-04-23,14669,12,29,0.19470049278275864,0.30284447581034485,0.5024550160862069,35498.0,1,4.20827104,21275740032.2271,185.028670833
2020-04-24,5305,4,16,0.123211099315625,0.35162341190625,0.5251654798875,32567.0,1,6.278358808000007,16788555028.0547,189.236941873
2020-04-25,-404,8,7,0.2235552718,0.5285029201351351,0.24794183025135133,33355.0,1,1.8022295029999784,18260969748.1499,195.515300681
2020-04-26,-70,8,15,0.22846298732916667,0.3945421788611111,0.37699481413888886,33495.0,0,-0.092808983999987,18335367011.6376,197.317530184
2020-04-27,7999,7,19,0.18518659786511626,0.4389186259534884,0.37589476901627905,39379.0,1,1.1906617939999933,18670194594.8337,197.2247212
2020-04-28,18060,9,19,0.152371403705,0.43537036464814816,0.4122582239814815,41546.0,1,18.552840860999996,18217507467.0215,198.415382994
2020-04-29,4309,7,19,0.16862225513499998,0.42273002127777776,0.40864772697592594,48269.0,0,-9.366167959999984,26397548759.2642,216.968223855
2020-04-30,9981,6,23,0.13599479220960786,0.40179027434313724,0.46221493299999994,50532.0,1,6.617050487,28089191903.9978,207.602055895
2020-05-01,3262,9,16,0.19753423367444445,0.40712292342222217,0.3953428409777778,40443.0,1,1.1062778379999827,20816320833.5286,214.219106382
2020-05-02,10160,2,13,0.0997929235,0.3901508113043478,0.5100562543478261,42783.0,0,-4.392227289999994,18260876092.1731,215.32538422
2020-05-03,1880,4,7,0.20287147544,0.45554058709999995,0.34158795478,43879.0,0,-2.759145988,20469034664.1327,210.93315693
2020-05-04,16469,7,27,0.14825266673359375,0.397535442921875,0.454211897478125,43373.0,0,-1.3996064110000077,22602446421.767,208.174010942
2020-05-05,6578,10,24,0.17597625393277777,0.39297904233333336,0.4310446959074074,50889.0,0,-2.718622277999998,19004689099.1832,206.774404531
2020-05-06,-79060,12,22,0.20850244100983606,0.39276082086393443,0.3987367286639344,55866.0,1,8.233623534000003,20343543799.0392,204.055782253
2020-05-07,8018,4,19,0.16051803457674418,0.42880170751162794,0.4106802571325581,59654.0,1,0.7021740190000116,23594744655.394,212.289405787
2020-05-08,8386,5,14,0.15394187206666668,0.43158603782051286,0.41447210733333334,53749.0,0,-1.3914562399999966,20445139356.3264,212.991579806
2020-05-09,11243,2,19,0.13280412172857142,0.3763965027142857,0.4907993754,42273.0,0,-23.00055313000001,18950547549.2131,211.600123566
2020-05-10,2267,6,14,0.20831825698285714,0.4230646686,0.3686170986857143,41923.0,0,-2.68673348599998,25211575192.6674,188.599570436
2020-05-11,10188,10,29,0.15807527913769231,0.41201968226153846,0.4299050227830769,82838.0,1,3.399665318999979,20054601646.7873,185.91283695
2020-05-12,-7393,5,24,0.10890885887321429,0.43587719910714284,0.4552139272071428,60453.0,1,9.880781159000009,15899726283.7581,189.312502269
2020-05-13,18545,11,32,0.15496332849620253,0.4369677243670886,0.4080689508227848,46507.0,1,3.755817344000008,17054662288.5919,199.193283428
2020-05-14,27204,7,33,0.12299600406500001,0.38932972303030305,0.4876742645666666,48588.0,0,-7.326442431000004,20150524860.6463,202.949100772
2020-05-15,7370,7,32,0.14093049061411764,0.40039645700588233,0.458673058007353,38102.0,1,5.054460255000009,16602342092.1298,195.622658341
2020-05-16,8905,10,25,0.16561015715307692,0.38210164536538466,0.4522881843961538,40293.0,1,6.481575736999986,15379081644.7062,200.677118596
2020-05-17,4925,9,15,0.21246630652727275,0.4278988668409091,0.35963480981818186,33797.0,1,7.366360874999998,15470397302.6915,207.158694333
2020-05-18,-15430,13,23,0.20427806568825396,0.4130300842698413,0.3826918412904762,38987.0,0,-1.073944296999997,17411566927.5013,214.525055208
2020-05-19,15591,7,23,0.10124980940451613,0.4679440748870968,0.43080610451612905,31927.0,0,-3.3543753179999958,14346192778.7086,213.451110911
2020-05-20,14167,9,32,0.14466140762957747,0.41456246073239433,0.440776130028169,33468.0,0,-10.213130041,12730175510.5633,210.096735593
