Date,Impact,classes_-1,classes_1,roberta_neg,roberta_neu,roberta_pos,tweet_volume,+1D BTC,Price Diff BTC,BTC Volume,BTC_close
2020-02-06,29937,21.0,59.0,23.09280314095,54.419902723999996,61.487294546,30260.0,1,66.14154103999863,37628823715.5135,9729.80223149
2020-02-07,12458,23.0,50.0,20.11929378211,49.263088496499996,49.6176173028,25577.0,1,69.1756965200002,34522718159.4693,9795.94377253
2020-02-08,16168,16.0,38.0,15.8202468576,35.059757822,36.1199947674,22495.0,1,251.55428994999968,35172043761.8284,9865.11946905
2020-02-09,32441,24.0,62.0,25.2102995696,63.070541639,59.7191583499,38674.0,0,-260.0622653800001,35807884663.4158,10116.673759
2020-02-10,63069,14.0,51.0,15.19488168584,45.687246187,51.117870958,27170.0,1,351.62476728,39386548074.7018,9856.61149362
2020-02-11,9387,23.0,48.0,27.32792280567,68.982054038,51.6900218881,28117.0,1,117.8182637000009,37648059388.6878,10208.2362609
2020-02-12,24590,24.0,50.0,26.8310996804,62.838614578,51.3302860847,28341.0,0,-111.6750608000002,43444303830.2328,10326.0545246
2020-02-13,7116,31.0,61.0,34.66186296664,72.451535852,59.8865990372,26869.0,1,97.73662709999915,49356071372.9288,10214.3794638
2020-02-14,16985,22.0,49.0,23.26482901911,54.915498319,51.8196706821,25754.0,0,-422.6914625199988,43338264161.5617,10312.1160909
2020-02-15,1465,17.0,34.0,18.39641708719,38.6749235056,32.9286593352,23918.0,1,45.00876186999994,43865054831.0045,9889.42462838
2020-02-16,1612,24.0,26.0,21.7264864928,38.544149794,28.729362401,23996.0,0,-244.29077211000003,43374780305.4408,9934.43339025
2020-02-17,2628,27.0,33.0,25.6572148396,39.2201588417,33.1226256876,25279.0,1,451.8537523599989,45998298412.6028,9690.14261814
2020-02-18,32795,24.0,53.0,24.54989046911,59.904130417,55.5459778142,29623.0,0,-508.6094853199993,47271023953.4278,10141.9963705
2020-02-19,18240,20.0,46.0,23.11718064586,57.617243796000004,50.265573996,31627.0,0,-24.910981749999337,46992019709.9208,9633.38688518
2020-02-20,4211,21.0,28.0,20.3337057322,43.682622814,29.9836714656,26789.0,1,77.96529419999933,44925260236.831,9608.47590343
2020-02-21,-622,16.0,25.0,17.66293295147,46.423940651,30.913126284,23685.0,0,-23.25936829999955,40930547512.6559,9686.44119763
2020-02-22,11608,14.0,28.0,17.44958987913,33.728262379,29.822146859,24088.0,1,261.33339888999944,35838025154.2608,9663.18182933
2020-02-23,9859,12.0,35.0,15.9945503019,34.661495744,33.343952865,25803.0,0,-274.3404214500006,41185185761.491,9924.51522822
2020-02-24,-6502,35.0,32.0,33.20401176134,57.389316202,36.4066707342,28829.0,0,-308.46963800999947,45080496648.3463,9650.17480677
2020-02-25,15807,28.0,44.0,29.09766989133,49.629959244,46.272370699,27251.0,0,-521.1829687099998,42515259129.2118,9341.70516876
2020-02-26,11664,30.0,45.0,28.32509788572,48.65236941,45.022532604,27388.0,0,-36.02835138000046,50420050761.9225,8820.52220005
2020-02-27,12800,28.0,48.0,27.20742916671,47.948655049,47.8439155152,25882.0,0,-112.03849870999876,45470195695.0864,8784.49384867
2020-02-28,44219,23.0,34.0,23.1414422363,41.371135555,35.4874214453,25289.0,0,-72.94673024000076,44605450442.7398,8672.45534996
2020-02-29,10678,14.0,24.0,14.39855963085,35.8933268206,26.7081130113,22884.0,0,-37.05456964000041,35792392544.0102,8599.50861972
2020-03-01,64,14.0,14.0,15.1014822611,28.465247643,18.4332708125,22847.0,1,307.21626070000093,35349164300.1413,8562.45405008
2020-03-02,12615,20.0,32.0,21.08815146265,51.738231865,35.1736159764,25876.0,0,-81.88385501999983,42857674408.8765,8869.67031078
2020-03-03,20155,21.0,40.0,18.35107355876,45.0535812474,40.595345421,25782.0,0,-32.54056115000094,42386715820.5577,8787.78645576
2020-03-04,55644,29.0,83.0,34.51464641863,77.331435782,81.1539171535,27221.0,1,323.51689713000087,34746706368.1467,8755.24589461
2020-03-05,32145,18.0,55.0,23.11175688435,57.312581657,57.575661243,26232.0,1,43.78278159000001,39698054597.4259,9078.76279174
2020-03-06,6543,22.0,33.0,23.47330817763,41.409017813,34.1176721465,22285.0,0,-212.5919218300005,40826885650.9438,9122.54557333
2020-03-07,-5375,16.0,18.0,17.87722146075,30.177720283,18.9450582261,19205.0,0,-801.8373604899998,36216930369.6665,8909.9536515
2020-03-08,-94838,30.0,24.0,26.5560829242,39.237335182,29.2065805576,19627.0,0,-184.47158770999977,39973102120.5682,8108.11629101
2020-03-09,-12492,54.0,52.0,51.0071269099,80.240182076,57.7526891685,31167.0,0,-13.915309840000193,46936995808.1849,7923.6447033
2020-03-10,6508,19.0,31.0,21.45670724774,49.2857984,37.257493193,24544.0,1,1.7007358700002442,42213940993.6104,7909.72939346
2020-03-11,11136,19.0,35.0,21.08030516272,45.62142372,36.2982724568,23550.0,0,-2940.6422282800004,38682762604.6366,7911.43012933
2020-03-12,-5296,90.0,55.0,84.84492840046,94.767213463,58.3878580679,44735.0,1,592.9189906399997,53980357243.0501,4970.78790105
2020-03-13,12241,74.0,73.0,73.90256038084,108.100173153,78.9972642622,43020.0,0,-363.3406277699996,74156772074.9603,5563.70689169
2020-03-14,-133,26.0,19.0,27.4876845174,42.509558811,24.0027559564,22922.0,1,191.94861609999955,36154506007.5848,5200.36626392
